DateTime,Groundwater level per five days
2000-01-01,1458.57
2000-01-06,1458.47
2000-01-11,1458.36
2000-01-16,1458.25
2000-01-21,1458.14
2000-01-26,1458.03
2000-02-01,1457.92
2000-02-06,1457.82
2000-02-11,1457.71
2000-02-16,1457.6
2000-02-21,1457.49
2000-02-26,1457.69
2000-03-01,1458.89
2000-03-06,1458.99
2000-03-11,1459.29
2000-03-16,1458.3
2000-03-21,1458.04
2000-03-26,1457.99
2000-04-01,1457.99
2000-04-06,1457.84
2000-04-11,1457.81
2000-04-16,1457.77
2000-04-21,1457.79
2000-04-26,1457.99
2000-05-01,1458.09
2000-05-06,1457.69
2000-05-11,1457.64
2000-05-16,1457.49
2000-05-21,1457.29
2000-05-26,1457.29
2000-06-01,1457.41
2000-06-06,1457.49
2000-06-11,1456.49
2000-06-16,1456.09
2000-06-21,1456.02
2000-06-26,1456.09
2000-07-01,1456.59
2000-07-06,1456.91
2000-07-11,1457.09
2000-07-16,1455.79
2000-07-21,1456.19
2000-07-26,1455.59
2000-08-01,1456.29
2000-08-06,1456.45
2000-08-11,1456.61
2000-08-16,1456.78
2000-08-21,1456.94
2000-08-26,1457.1
2000-09-01,1456.19
2000-09-06,1456.19
2000-09-11,1456.49
2000-09-16,1457.09
2000-09-21,1457.49
2000-09-26,1457.55
2000-10-01,1457.99
2000-10-06,1457.99
2000-10-11,1458.09
2000-10-16,1458.11
2000-10-21,1458.1
2000-10-26,1458.1
2000-11-01,1458.09
2000-11-06,1458.09
2000-11-11,1458.08
2000-11-16,1458.08
2000-11-21,1458.06
2000-11-26,1458.05
2000-12-01,1458.03
2000-12-06,1458.02
2000-12-11,1458
2000-12-16,1457.99
2000-12-21,1458.37
2000-12-26,1458.76
2001-01-01,1458.79
2001-01-06,1458.85
2001-01-11,1458.89
2001-01-16,1458.89
2001-01-21,1458.89
2001-01-26,1458.91
2001-02-01,1458.79
2001-02-06,1458.85
2001-02-11,1458.99
2001-02-16,1458.89
2001-02-21,1458.83
2001-02-26,1458.83
2001-03-01,1458.83
2001-03-06,1458.89
2001-03-11,1458.89
2001-03-16,1458.85
2001-03-21,1458.83
2001-03-26,1458.79
2001-04-01,1458.59
2001-04-06,1458.59
2001-04-11,1458.46
2001-04-16,1458.44
2001-04-21,1458.41
2001-04-26,1458.31
2001-05-01,1458.27
2001-05-06,1458.29
2001-05-11,1457.44
2001-05-16,1456.89
2001-05-21,1456.84
2001-05-26,1456.39
2001-06-01,1456.09
2001-06-06,1455.89
2001-06-11,1456.19
2001-06-16,1456.19
2001-06-21,1456.09
2001-06-26,1456.04
2001-07-01,1455.84
2001-07-06,1455.71
2001-07-11,1455.52
2001-07-16,1455.49
2001-07-21,1455.49
2001-07-26,1455.47
2001-08-01,1455.47
2001-08-06,1455.01
2001-08-11,1454.79
2001-08-16,1454.87
2001-08-21,1454.94
2001-08-26,1455.01
2001-09-01,1455.14
2001-09-06,1455.2
2001-09-11,1455.29
2001-09-16,1455.39
2001-09-21,1455.48
2001-09-26,1455.57
2001-10-01,1455.68
2001-10-06,1455.87
2001-10-11,1456.08
2001-10-16,1456.26
2001-10-21,1456.45
2001-10-26,1456.65
2001-11-01,1456.84
2001-11-06,1457.03
2001-11-11,1457.22
2001-11-16,1457.4
2001-11-21,1457.59
2001-11-26,1457.79
2001-12-01,1457.97
2001-12-06,1458.06
2001-12-11,1458.15
2001-12-16,1458.24
2001-12-21,1458.33
2001-12-26,1458.41
2002-01-01,1458.51
2002-01-06,1458.55
2002-01-11,1458.58
2002-01-16,1458.69
2002-01-21,1458.76
2002-01-26,1458.92
2002-02-01,1459.06
2002-02-06,1459.18
2002-02-11,1459.25
2002-02-16,1459.34
2002-02-21,1459.47
2002-02-26,1459.55
2002-03-01,1459.59
2002-03-06,1459.46
2002-03-11,1459.37
2002-03-16,1459.2
2002-03-21,1459.05
2002-03-26,1458.92
2002-04-01,1458.74
2002-04-06,1458.64
2002-04-11,1458.47
2002-04-16,1458.19
2002-04-21,1457.88
2002-04-26,1457.54
2002-05-01,1457.64
2002-05-06,1457.39
2002-05-11,1457.28
2002-05-16,1457.39
2002-05-21,1457.18
2002-05-26,1457.29
2002-06-01,1456.94
2002-06-06,1456.99
2002-06-11,1456.99
2002-06-16,1456.94
2002-06-21,1457.04
2002-06-26,1456.94
2002-07-01,1456.94
2002-07-06,1457.09
2002-07-11,1457.09
2002-07-16,1457.19
2002-07-21,1457.29
2002-07-26,1457.29
2002-08-01,1457.39
2002-08-06,1457.39
2002-08-11,1457.59
2002-08-16,1457.59
2002-08-21,1457.79
2002-08-26,1457.79
2002-09-01,1457.89
2002-09-06,1457.89
2002-09-11,1458.09
2002-09-16,1458.19
2002-09-21,1458.39
2002-09-26,1458.59
2002-10-01,1458.39
2002-10-06,1458.59
2002-10-11,1458.89
2002-10-16,1459.09
2002-10-21,1459.14
2002-10-26,1459.14
2002-11-01,1459.14
2002-11-06,1459.19
2002-11-11,1459.19
2002-11-16,1459.19
2002-11-21,1459.19
2002-11-26,1459.24
2002-12-01,1459.24
2002-12-06,1459.29
2002-12-11,1459.29
2002-12-16,1459.22
2002-12-21,1459.24
2002-12-26,1459.29
2003-01-01,1459.29
2003-01-06,1459.29
2003-01-11,1458.89
2003-01-16,1459.39
2003-01-21,1459.39
2003-01-26,1459.54
2003-02-01,1459.54
2003-02-06,1459.54
2003-02-11,1459.59
2003-02-16,1459.59
2003-02-21,1459.59
2003-02-26,1459.59
2003-03-01,1459.64
2003-03-06,1459.79
2003-03-11,1459.79
2003-03-16,1459.89
2003-03-21,1459.89
2003-03-26,1459.79
2003-04-01,1459.79
2003-04-06,1459.69
2003-04-11,1459.69
2003-04-16,1459.39
2003-04-21,1459.19
2003-04-26,1458.89
2003-05-01,1458.69
2003-05-06,1458.69
2003-05-11,1458.54
2003-05-16,1458.54
2003-05-21,1458.39
2003-05-26,1458.24
2003-06-01,1457.89
2003-06-06,1457.75
2003-06-11,1457.61
2003-06-16,1457.49
2003-06-21,1457.29
2003-06-26,1457.19
2003-07-01,1457.19
2003-07-06,1457.19
2003-07-11,1457.09
2003-07-16,1457.04
2003-07-21,1456.99
2003-07-26,1456.94
2003-08-01,1457.39
2003-08-06,1457.39
2003-08-11,1457.59
2003-08-16,1457.59
2003-08-21,1458.04
2003-08-26,1458.04
2003-09-01,1458.04
2003-09-06,1458.59
2003-09-11,1458.59
2003-09-16,1459.09
2003-09-21,1459.09
2003-09-26,1459.09
2003-10-01,1460.29
2003-10-06,1460.29
2003-10-11,1460.29
2003-10-16,1460.29
2003-10-21,1460.29
2003-10-26,1460.19
2003-11-01,1460.09
2003-11-06,1460.09
2003-11-11,1460.14
2003-11-16,1460.29
2003-11-21,1460.39
2003-11-26,1460.54
2003-12-01,1460.54
2003-12-06,1460.64
2003-12-11,1460.64
2003-12-16,1460.74
2003-12-21,1460.74
2003-12-26,1460.94
2004-01-01,1460.79
2004-01-06,1460.99
2004-01-11,1461.29
2004-01-16,1460.69
2004-01-21,1460.69
2004-01-26,1460.79
2004-02-01,1460.59
2004-02-06,1460.59
2004-02-11,1460.39
2004-02-16,1460.29
2004-02-21,1460.19
2004-02-26,1460.19
2004-03-01,1460.19
2004-03-06,1460.14
2004-03-11,1460.09
2004-03-16,1460.09
2004-03-21,1460.04
2004-03-26,1459.87
2004-04-01,1459.64
2004-04-06,1459.64
2004-04-11,1459.59
2004-04-16,1459.54
2004-04-21,1459.54
2004-04-26,1459.59
2004-05-01,1459.54
2004-05-06,1459.54
2004-05-11,1459.49
2004-05-16,1459.49
2004-05-21,1459.39
2004-05-26,1459.39
2004-06-01,1458.89
2004-06-06,1458.89
2004-06-11,1458.59
2004-06-16,1458.59
2004-06-21,1458.79
2004-06-26,1458.79
2004-07-01,1458.69
2004-07-06,1458.59
2004-07-11,1458.59
2004-07-16,1458.39
2004-07-21,1458.39
2004-07-26,1458.29
2004-08-01,1458.99
2004-08-06,1459.04
2004-08-11,1459.09
2004-08-16,1459.19
2004-08-21,1458.89
2004-08-26,1458.97
2004-09-01,1457.89
2004-09-06,1457.89
2004-09-11,1458.09
2004-09-16,1458.09
2004-09-21,1458.09
2004-09-26,1458.14
2004-10-01,1458.19
2004-10-06,1458.19
2004-10-11,1458.29
2004-10-16,1458.29
2004-10-21,1458.34
2004-10-26,1458.39
2004-11-01,1458.59
2004-11-06,1458.59
2004-11-11,1458.79
2004-11-16,1458.79
2004-11-21,1458.79
2004-11-26,1458.79
2004-12-01,1458.69
2004-12-06,1459.56
2004-12-11,1459.59
2004-12-16,1459.57
2004-12-21,1459.69
2004-12-26,1459.77
2005-01-01,1459.57
2005-01-06,1459.67
2005-01-11,1459.94
2005-01-16,1459.92
2005-01-21,1459.88
2005-01-26,1459.86
2005-02-01,1459.82
2005-02-06,1459.79
2005-02-11,1459.76
2005-02-16,1459.73
2005-02-21,1459.71
2005-02-26,1459.67
2005-03-01,1459.65
2005-03-06,1459.63
2005-03-11,1459.61
2005-03-16,1459.59
2005-03-21,1459.58
2005-03-26,1459.55
2005-04-01,1459.52
2005-04-06,1459.45
2005-04-11,1459.42
2005-04-16,1459.34
2005-04-21,1459.29
2005-04-26,1459.18
2005-05-01,1459.12
2005-05-06,1459.01
2005-05-11,1458.91
2005-05-16,1458.8
2005-05-21,1458.7
2005-05-26,1458.59
2005-06-01,1458.56
2005-06-06,1460.01
2005-06-11,1461.54
2005-06-16,1461.19
2005-06-21,1460.59
2005-06-26,1458.99
2005-07-01,1458.49
2005-07-06,1458.19
2005-07-11,1458.79
2005-07-16,1460.09
2005-07-21,1461.09
2005-07-26,1460.69
2005-08-01,1462.19
2005-08-06,1461.49
2005-08-11,1460.39
2005-08-16,1462.39
2005-08-21,1460.89
2005-08-26,1460.49
2005-09-01,1460.19
2005-09-06,1460.59
2005-09-11,1460.39
2005-09-16,1461.29
2005-09-21,1461.49
2005-09-26,1461.39
2005-10-01,1462.19
2005-10-06,1461.59
2005-10-11,1461.79
2005-10-16,1461.09
2005-10-21,1462.24
2005-10-26,1462.43
2005-11-01,1462.57
2005-11-06,1462.86
2005-11-11,1463.09
2005-11-16,1462.88
2005-11-21,1463.29
2005-11-26,1462.74
2005-12-01,1462.66
2005-12-06,1462.49
2005-12-11,1462.39
2005-12-16,1462.34
2005-12-21,1462.21
2005-12-26,1462.18
2006-01-01,1462.1
2006-01-06,1462.12
2006-01-11,1462.14
2006-01-16,1462.09
2006-01-21,1462.03
2006-01-26,1461.99
2006-02-01,1461.97
2006-02-06,1461.94
2006-02-11,1461.9
2006-02-16,1461.89
2006-02-21,1461.87
2006-02-26,1461.88
2006-03-01,1461.89
2006-03-06,1461.86
2006-03-11,1461.85
2006-03-16,1461.82
2006-03-21,1461.8
2006-03-26,1461.78
2006-04-01,1460.74
2006-04-06,1460.99
2006-04-11,1460.59
2006-04-16,1462.24
2006-04-21,1462.14
2006-04-26,1461.95
2006-05-01,1460.74
2006-05-06,1460.99
2006-05-11,1460.59
2006-05-16,1462.24
2006-05-21,1462.14
2006-05-26,1461.95
2006-06-01,1461.92
2006-06-06,1461.27
2006-06-11,1460.03
2006-06-16,1459.49
2006-06-21,1458.99
2006-06-26,1458.84
2006-07-01,1458.77
2006-07-06,1458.68
2006-07-11,1457.93
2006-07-16,1457.56
2006-07-21,1457.83
2006-07-26,1458.15
2006-08-01,1458.39
2006-08-06,1458.59
2006-08-11,1458.64
2006-08-16,1458.85
2006-08-21,1458.93
2006-08-26,1458.98
2006-09-01,1459.07
2006-09-06,1459.24
2006-09-11,1459.39
2006-09-16,1459.67
2006-09-21,1461.04
2006-09-26,1461.75
2006-10-01,1462.27
2006-10-06,1462.11
2006-10-11,1462.04
2006-10-16,1462.02
2006-10-21,1462.09
2006-10-26,1462.13
2006-11-01,1462.21
2006-11-06,1462.34
2006-11-11,1462.23
2006-11-16,1462.29
2006-11-21,1462.27
2006-11-26,1461.89
2006-12-01,1462.49
2006-12-06,1462.61
2006-12-11,1462.73
2006-12-16,1462.57
2006-12-21,1462.37
2006-12-26,1462
2007-01-01,1461.66
2007-01-06,1461.59
2007-01-11,1461.57
2007-01-16,1461.55
2007-01-21,1461.51
2007-01-26,1461.49
2007-02-01,1461.44
2007-02-06,1461.42
2007-02-11,1461.41
2007-02-16,1461.39
2007-02-21,1461.19
2007-02-26,1461.11
2007-03-01,1461.08
2007-03-06,1460.96
2007-03-11,1460.92
2007-03-16,1460.83
2007-03-21,1460.77
2007-03-26,1460.71
2007-04-01,1460.7
2007-04-06,1460.69
2007-04-11,1460.7
2007-04-16,1460.69
2007-04-21,1460.49
2007-04-26,1460.38
2007-05-01,1460.36
2007-05-06,1460.31
2007-05-11,1460.24
2007-05-16,1460.15
2007-05-21,1460.13
2007-05-26,1459.99
2007-06-01,1459.7
2007-06-06,1459.67
2007-06-11,1459.66
2007-06-16,1459.65
2007-06-21,1459.66
2007-06-26,1459.65
2007-07-01,1459.64
2007-07-06,1459.63
2007-07-11,1459.59
2007-07-16,1460.29
2007-07-21,1461.09
2007-07-26,1461.57
2007-08-01,1461.53
2007-08-06,1461.48
2007-08-11,1461.42
2007-08-16,1461.36
2007-08-21,1461.21
2007-08-26,1461.12
2007-09-01,1460.93
2007-09-06,1461.32
2007-09-11,1461.74
2007-09-16,1462.09
2007-09-21,1462.46
2007-09-26,1462.64
2007-10-01,1462.86
2007-10-06,1463.14
2007-10-11,1463.33
2007-10-16,1463.55
2007-10-21,1463.81
2007-10-26,1464.24
2007-11-01,1464.09
2007-11-06,1464.09
2007-11-11,1464.04
2007-11-16,1463.96
2007-11-21,1463.89
2007-11-26,1463.71
2007-12-01,1463.69
2007-12-06,1463.62
2007-12-11,1463.54
2007-12-16,1463.44
2007-12-21,1463.39
2007-12-26,1463.21
2008-01-01,1463.09
2008-01-06,1463.09
2008-01-11,1462.97
2008-01-16,1462.89
2008-01-21,1462.77
2008-01-26,1462.66
2008-02-01,1462.59
2008-02-06,1462.54
2008-02-11,1462.49
2008-02-16,1462.42
2008-02-21,1462.34
2008-02-26,1462.19
2008-03-01,1462.19
2008-03-06,1462.19
2008-03-11,1462.19
2008-03-16,1462.17
2008-03-21,1462.14
2008-03-26,1462.11
2008-04-01,1462.09
2008-04-06,1461.94
2008-04-11,1461.81
2008-04-16,1461.69
2008-04-21,1461.54
2008-04-26,1461.39
2008-05-01,1461.39
2008-05-06,1461.49
2008-05-11,1461.49
2008-05-16,1461.49
2008-05-21,1461.59
2008-05-26,1461.59
2008-06-01,1460.63
2008-06-06,1460.53
2008-06-11,1460.35
2008-06-16,1460.21
2008-06-21,1460.05
2008-06-26,1459.85
2008-07-01,1459.69
2008-07-06,1459.6
2008-07-11,1459.52
2008-07-16,1459.27
2008-07-21,1458.99
2008-07-26,1458.91
2008-08-01,1458.94
2008-08-06,1458.97
2008-08-11,1459.01
2008-08-16,1459.08
2008-08-21,1459.1
2008-08-26,1459.15
2008-09-01,1460.12
2008-09-06,1460.29
2008-09-11,1460.39
2008-09-16,1461.13
2008-09-21,1460.91
2008-09-26,1461.27
2008-10-01,1461.09
2008-10-06,1461.25
2008-10-11,1461.51
2008-10-16,1461.79
2008-10-21,1462.13
2008-10-26,1462.49
2008-11-01,1462.51
2008-11-06,1462.69
2008-11-11,1462.74
2008-11-16,1462.84
2008-11-21,1462.89
2008-11-26,1462.75
2008-12-01,1462.67
2008-12-06,1462.61
2008-12-11,1462.54
2008-12-16,1462.49
2008-12-21,1462.41
2008-12-26,1462.27
2009-01-01,1462.27
2009-01-06,1462.34
2009-01-11,1462.27
2009-01-16,1462.22
2009-01-21,1462.01
2009-01-26,1461.14
2009-02-01,1462.14
2009-02-06,1462.14
2009-02-11,1462.14
2009-02-16,1462.15
2009-02-21,1462.19
2009-02-26,1462.19
2009-03-01,1462.13
2009-03-06,1462.04
2009-03-11,1461.99
2009-03-16,1461.91
2009-03-21,1461.74
2009-03-26,1461.74
2009-04-01,1461.57
2009-04-06,1461.39
2009-04-11,1461.22
2009-04-16,1461.04
2009-04-21,1460.87
2009-04-26,1460.69
2009-05-01,1460.61
2009-05-06,1460.49
2009-05-11,1460.24
2009-05-16,1460.01
2009-05-21,1459.94
2009-05-26,1459.83
2009-06-01,1459.69
2009-06-06,1459.89
2009-06-11,1459.72
2009-06-16,1459.56
2009-06-21,1459.38
2009-06-26,1459.23
2009-07-01,1459.21
2009-07-06,1459.19
2009-07-11,1459.13
2009-07-16,1459.04
2009-07-21,1458.91
2009-07-26,1458.89
2009-08-01,1459.04
2009-08-06,1459.19
2009-08-11,1459.41
2009-08-16,1459.59
2009-08-21,1459.81
2009-08-26,1459.99
2009-09-01,1460.24
2009-09-06,1460.59
2009-09-11,1460.94
2009-09-16,1461.29
2009-09-21,1461.74
2009-09-26,1462.19
2009-10-01,1462.39
2009-10-06,1462.54
2009-10-11,1462.84
2009-10-16,1463.19
2009-10-21,1463.44
2009-10-26,1463.77
2009-11-01,1464.59
2009-11-06,1464.29
2009-11-11,1463.94
2009-11-16,1463.79
2009-11-21,1463.65
2009-11-26,1463.59
2009-12-01,1463.56
2009-12-06,1463.59
2009-12-11,1463.59
2009-12-16,1463.44
2009-12-21,1463.39
2009-12-26,1463.24
2010-01-01,1464.19
2010-01-06,1464.19
2010-01-11,1464.12
2010-01-16,1464.03
2010-01-21,1463.95
2010-01-26,1463.96
2010-02-01,1463.92
2010-02-06,1463.67
2010-02-11,1463.65
2010-02-16,1463.59
2010-02-21,1463.63
2010-02-26,1463.67
2010-03-01,1463.47
2010-03-06,1463.53
2010-03-11,1463.55
2010-03-16,1463.51
2010-03-21,1463.46
2010-03-26,1463.37
2010-04-01,1463.13
2010-04-06,1462.88
2010-04-11,1462.63
2010-04-16,1462.59
2010-04-21,1462.52
2010-04-26,1462.46
2010-05-01,1462.23
2010-05-06,1462.19
2010-05-11,1462.01
2010-05-16,1461.96
2010-05-21,1461.96
2010-05-26,1462.17
2010-06-01,1462.29
