DateTime,Groundwater level per five days
2002-05-26,1407.303
2002-06-01,1407.168
2002-06-06,1407.196
2002-06-11,1406.993
2002-06-16,1406.893
2002-06-21,1407.293
2002-06-26,1406.243
2002-07-01,1406.963
2002-07-06,1407.023
2002-07-11,1407.063
2002-07-16,1407.093
2002-07-21,1407.193
2002-07-26,1407.173
2002-08-01,1406.793
2002-08-06,1406.733
2002-08-11,1406.773
2002-08-16,1406.743
2002-08-21,1406.793
2002-08-26,1406.743
2002-09-01,1407.193
2002-09-06,1407.213
2002-09-11,1407.223
2002-09-16,1407.193
2002-09-21,1407.243
2002-09-26,1407.243
2002-10-01,1407.263
2002-10-06,1407.243
2002-10-11,1407.293
2002-10-16,1407.263
2002-10-21,1407.343
2002-10-26,1407.323
2002-11-01,1407.293
2002-11-06,1407.323
2002-11-11,1407.363
2002-11-16,1407.423
2002-11-21,1407.543
2002-11-26,1407.533
2002-12-01,1407.513
2002-12-06,1407.343
2002-12-11,1407.233
2002-12-16,1407.263
2002-12-21,1407.213
2002-12-26,1407.193
2003-01-01,1407.14
2003-01-06,1407.07
2003-01-11,1407.03
2003-01-16,1407.01
2003-01-21,1407.09
2003-01-26,1407.04
2003-02-01,1407.12
2003-02-06,1407.07
2003-02-11,1407.14
2003-02-16,1407.16
2003-02-21,1407.12
2003-02-26,1407.18
2003-03-01,1407.14
2003-03-06,1407.08
2003-03-11,1407.17
2003-03-16,1407.19
2003-03-21,1407.19
2003-03-26,1407.23
2003-04-01,1407.26
2003-04-06,1407.29
2003-04-11,1407.34
2003-04-16,1407.24
2003-04-21,1407.19
2003-04-26,1407.21
2003-05-01,1407.08
2003-05-06,1407.14
2003-05-11,1407.19
2003-05-16,1407.04
2003-05-21,1407.07
2003-05-26,1407.02
2003-06-01,1406.92
2003-06-06,1406.89
2003-06-11,1406.96
2003-06-16,1406.94
2003-06-21,1406.79
2003-06-26,1406.81
2003-07-01,1406.84
2003-07-06,1406.86
2003-07-11,1406.78
2003-07-16,1406.74
2003-07-21,1406.79
2003-07-26,1406.86
2003-08-01,1406.93
2003-08-06,1406.87
2003-08-11,1406.84
2003-08-16,1406.8
2003-08-21,1406.79
2003-08-26,1406.83
2003-09-01,1406.81
2003-09-06,1406.79
2003-09-11,1406.94
2003-09-16,1406.77
2003-09-21,1406.74
2003-09-26,1406.92
2003-10-01,1406.96
2003-10-06,1407.04
2003-10-11,1407.07
2003-10-16,1407.14
2003-10-21,1407.23
2003-10-26,1407.29
2003-11-01,1407.24
2003-11-06,1407.27
2003-11-11,1407.31
2003-11-16,1407.24
2003-11-21,1407.73
2003-11-26,1407.38
2003-12-01,1407.28
2003-12-06,1407.37
2003-12-11,1407.49
2003-12-16,1407.47
2003-12-21,1407.54
2003-12-26,1407.51
2004-01-01,1407.143
2004-01-06,1407.073
2004-01-11,1407.033
2004-01-16,1407.013
2004-01-21,1407.093
2004-01-26,1407.053
2004-02-01,1407.122
2004-02-06,1407.073
2004-02-11,1407.144
2004-02-16,1407.167
2004-02-21,1407.121
2004-02-26,1407.131
2004-03-01,1407.142
2004-03-06,1407.083
2004-03-11,1407.173
2004-03-16,1407.193
2004-03-21,1407.191
2004-03-26,1407.232
2004-04-01,1407.263
2004-04-06,1407.292
2004-04-11,1407.343
2004-04-16,1407.243
2004-04-21,1407.192
2004-04-26,1407.213
2004-05-01,1407.082
2004-05-06,1407.143
2004-05-11,1407.191
2004-05-16,1407.043
2004-05-21,1407.083
2004-05-26,1407.094
2004-06-01,1406.925
2004-06-06,1406.931
2004-06-11,1406.953
2004-06-16,1406.933
2004-06-21,1406.783
2004-06-26,1406.823
2004-07-01,1406.843
2004-07-06,1406.853
2004-07-11,1406.773
2004-07-16,1406.733
2004-07-21,1406.783
2004-07-26,1406.821
2004-08-01,1406.935
2004-08-06,1406.853
2004-08-11,1406.873
2004-08-16,1406.823
2004-08-21,1406.798
2004-08-26,1406.856
2004-09-01,1406.8333
2004-09-06,1406.783
2004-09-11,1406.953
2004-09-16,1406.783
2004-09-21,1406.763
2004-09-26,1406.873
2004-10-01,1406.973
2004-10-06,1407.053
2004-10-11,1407.063
2004-10-16,1407.083
2004-10-21,1407.231
2004-10-26,1407.295
2004-11-01,1407.293
2004-11-06,1407.383
2004-11-11,1407.343
2004-11-16,1407.231
2004-11-21,1407.633
2004-11-26,1407.523
2004-12-01,1407.281
2004-12-06,1407.295
2004-12-11,1407.305
2004-12-16,1407.345
2004-12-21,1407.535
2004-12-26,1407.466
2005-01-01,1407.743
2005-01-06,1407.723
2005-01-11,1407.733
2005-01-16,1407.743
2005-01-21,1407.713
2005-01-26,1407.763
2005-02-01,1407.733
2005-02-06,1407.713
2005-02-11,1407.753
2005-02-16,1407.743
2005-02-21,1407.723
2005-02-26,1407.703
2005-03-01,1407.723
2005-03-06,1407.743
2005-03-11,1407.713
2005-03-16,1407.703
2005-03-21,1407.693
2005-03-26,1407.733
2005-04-01,1407.723
2005-04-06,1407.713
2005-04-11,1407.693
2005-04-16,1407.673
2005-04-21,1407.703
2005-04-26,1407.683
2005-05-01,1407.683
2005-05-06,1407.693
2005-05-11,1407.673
2005-05-16,1407.653
2005-05-21,1407.683
2005-05-26,1407.673
2005-06-01,1407.663
2005-06-06,1407.653
2005-06-11,1407.683
2005-06-16,1407.673
2005-06-21,1407.643
2005-06-26,1407.623
2005-07-01,1407.643
2005-07-06,1407.623
2005-07-11,1407.633
2005-07-16,1407.613
2005-07-21,1407.593
2005-07-26,1407.573
2005-08-01,1407.553
2005-08-06,1407.543
2005-08-11,1407.533
2005-08-16,1407.503
2005-08-21,1407.493
2005-08-26,1407.483
2005-09-01,1407.483
2005-09-06,1407.473
2005-09-11,1407.453
2005-09-16,1407.323
