Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,1.760300,0.000000,0
Solver,32.047600,7.032575,2.25377e+08
Solver Cleanup,0.004000,0.000000,0
Matvec,0.000000,-nan,0
PFSB I/O,0.000000,-nan,0
PFB I/O,24.952100,0.000000,0
CLM,6.583500,0.000000,0
PFSOL Read,0.040700,0.000000,0
Clustering,0.790700,0.000000,0
Permeability Face,0.000000,-nan,0
Godunov Advection,0.000000,-nan,0
Geometries,0.352200,0.000000,0
SubsrfSim,0.024600,0.000000,0
Porosity,0.000100,0.000000,0
PhaseRelPerm,0.026800,0.003918,105
PFMGOctree,0.023400,0.000000,0
HYPRE_Copies,0.019100,0.000000,0
NL_F_Eval,0.057700,0.001438,83
KINSol,13.309400,16.933683,2.25377e+08
Total Runtime,33.818000,-nan,0
